aX,aY,aZ,gX,gY,gZ
0.366,0.052,1.030,-32.837,-16.235,-7.385
0.300,-0.001,1.066,-29.175,-18.738,-12.817
0.248,-0.013,1.068,-24.414,-16.296,-13.428
0.194,-0.006,1.043,-20.325,-10.010,-11.292
0.162,-0.011,1.017,-16.602,-1.282,-7.996
0.183,-0.009,0.996,-12.939,7.263,-2.991
0.250,0.002,0.995,-9.888,15.991,2.747
0.322,-0.010,0.978,-6.409,21.362,6.897
0.390,-0.012,0.950,-4.700,19.043,8.240
0.422,-0.009,0.937,-4.700,9.705,7.629
0.436,0.004,0.937,-5.615,-0.305,4.761
0.429,-0.010,0.944,-7.324,-7.202,-0.793
0.376,-0.034,0.966,-8.362,-11.475,-5.554
0.318,-0.057,0.990,-8.545,-13.733,-7.874
0.279,-0.067,1.020,-8.423,-13.000,-7.324
0.278,-0.070,1.051,-7.080,-8.484,-5.005
0.289,-0.073,1.064,-4.700,0.610,-2.014
0.311,-0.062,1.067,-2.136,10.925,0.610
0.312,-0.053,1.054,0.488,17.395,1.953
0.338,-0.014,1.017,2.502,15.747,2.075
0.344,-0.030,1.001,3.235,8.789,0.549
0.312,-0.054,1.001,3.296,2.197,-2.258
0.287,-0.073,0.987,4.089,-0.854,-2.563
0.289,-0.050,0.971,5.859,-1.221,-0.610
0.296,-0.018,0.956,10.010,-0.549,0.000
0.321,-0.047,0.913,16.174,-1.160,0.061
0.340,-0.046,0.904,17.883,-2.930,0.427
0.345,-0.050,0.920,16.663,-3.723,0.549
0.319,-0.034,0.944,16.052,-4.883,-0.671
0.304,-0.047,0.937,15.625,-8.057,-4.150
0.279,-0.073,0.930,14.221,-11.047,-7.629
0.252,-0.082,0.930,11.719,-11.719,-8.606
0.236,-0.084,0.925,9.399,-9.521,-8.118
0.239,-0.049,0.906,8.423,-6.653,-6.409
0.246,-0.060,0.883,8.179,-3.723,-4.395
0.248,-0.071,0.885,7.080,-1.038,-1.465
0.263,-0.060,0.915,4.761,1.221,-0.122
0.270,-0.065,0.938,4.700,1.709,-0.488
0.249,-0.056,0.949,6.775,-0.977,-1.709
0.246,-0.067,0.929,9.399,-7.690,-2.808
0.247,-0.068,0.917,9.705,-15.198,-3.418
0.255,-0.063,0.912,8.545,-19.653,-3.418
0.276,-0.049,0.881,7.751,-23.071,-3.662
0.279,-0.055,0.872,5.127,-26.245,-4.639
0.255,-0.058,0.887,2.197,-26.123,-6.348
0.224,-0.067,0.918,-0.793,-22.400,-7.202
0.194,-0.084,0.960,-2.075,-17.639,-6.470
0.186,-0.085,0.984,-0.977,-12.207,-4.456
0.193,-0.077,1.001,1.465,-6.897,-1.953
0.209,-0.062,0.984,6.531,-2.686,-0.977
0.236,-0.047,0.928,12.146,-2.014,-0.732
0.258,-0.041,0.862,14.160,-5.615,-1.404
0.261,-0.050,0.844,11.475,-11.475,-3.418
0.257,-0.057,0.857,7.385,-15.991,-5.859
0.250,-0.062,0.884,3.601,-18.738,-7.385
0.246,-0.052,0.900,0.977,-20.447,-8.301
0.232,-0.056,0.929,-0.671,-22.217,-9.521
0.211,-0.062,0.962,-0.854,-23.743,-10.742
0.190,-0.083,0.978,1.404,-25.574,-10.376
0.176,-0.087,0.974,5.432,-27.283,-9.033
0.170,-0.093,0.955,9.399,-26.794,-7.019
0.159,-0.105,0.938,11.658,-22.644,-4.089
0.156,-0.100,0.934,12.451,-16.846,-1.404
0.169,-0.095,0.933,12.207,-11.353,0.977
0.186,-0.079,0.939,11.169,-6.897,2.808
0.203,-0.066,0.949,8.789,-2.808,3.479
0.216,-0.056,0.965,5.798,0.244,2.991
0.212,-0.056,0.981,3.357,1.709,1.892
0.213,-0.061,0.989,2.869,0.305,0.488
0.209,-0.073,0.991,4.272,-3.845,-1.099
0.204,-0.085,0.986,7.202,-10.620,-2.747
0.204,-0.087,0.983,10.376,-17.639,-3.540
0.187,-0.081,0.979,13.000,-22.217,-3.967
0.170,-0.083,0.985,15.137,-22.766,-3.540
0.163,-0.080,0.985,16.113,-19.836,-2.502
0.173,-0.063,0.986,15.869,-15.442,-1.404
0.183,-0.047,0.985,15.137,-10.864,0.244
0.200,-0.056,0.987,14.709,-6.042,1.282
0.219,-0.070,0.985,14.709,-1.770,2.075
0.235,-0.075,0.984,14.954,3.174,2.441
0.233,-0.076,0.964,15.686,9.521,1.343
0.201,-0.082,0.920,16.907,8.301,-1.587
0.191,-0.073,0.906,18.188,-5.005,-3.479
0.197,-0.055,0.927,17.700,-21.667,-5.493
0.213,-0.045,0.965,16.663,-34.241,-7.202
0.215,-0.024,1.000,16.296,-39.978,-8.240
0.202,-0.013,1.004,17.334,-41.504,-8.606
0.181,-0.041,0.994,18.616,-41.138,-7.935
0.164,-0.074,0.995,19.531,-38.269,-5.737
0.144,-0.084,1.006,21.729,-31.860,-4.761
0.105,-0.096,1.005,26.367,-23.560,-6.836
0.066,-0.108,1.001,31.494,-12.268,-7.812
0.054,-0.099,0.998,34.241,0.000,-5.432

-0.149,2.032,1.573,-199.463,-135.437,49.805
0.012,2.188,1.785,-177.673,-89.966,71.472
0.332,2.307,1.922,-161.255,-10.559,86.731
0.915,2.269,2.078,-162.048,96.558,91.736
1.496,1.993,2.256,-176.025,209.229,79.590
1.701,1.545,2.392,-181.824,284.485,40.161
1.241,0.977,2.447,-159.302,279.541,-17.212
0.400,0.361,2.378,-108.521,176.270,-71.350
-0.427,-0.078,2.236,-47.913,22.705,-96.252
-0.801,-0.264,2.058,3.967,-100.464,-86.487
-0.803,-0.308,1.816,46.997,-141.235,-53.467
-0.594,-0.226,1.484,78.979,-102.661,-13.062
-0.370,-0.093,1.080,93.811,-23.560,25.513
-0.114,0.070,0.711,87.097,51.575,55.176
0.174,0.197,0.495,64.087,102.234,68.970
0.396,0.234,0.423,39.063,122.131,59.509
0.500,0.193,0.405,22.461,110.840,34.302
0.514,0.156,0.431,12.207,75.623,10.986
0.417,0.062,0.515,2.441,31.433,-8.850
0.237,-0.023,0.608,-4.517,-6.287,-24.963
0.075,-0.082,0.680,-7.019,-29.968,-30.273
0.011,-0.117,0.738,-8.362,-37.781,-24.719
0.069,-0.110,0.765,-10.132,-31.555,-14.221
0.177,-0.068,0.792,-12.451,-20.020,-4.333
0.296,-0.020,0.806,-12.695,-12.329,0.977
0.387,0.027,0.824,-12.939,-8.911,2.625
0.416,0.038,0.838,-15.381,-7.324,-0.671
0.411,0.050,0.847,-20.691,-4.883,-6.531
0.367,0.015,0.884,-28.137,-0.854,-13.611
0.298,-0.027,0.924,-34.790,4.639,-18.982
0.227,-0.053,0.970,-38.879,9.338,-19.409
0.210,-0.063,1.014,-37.170,13.672,-15.381
0.216,-0.048,1.028,-30.273,16.174,-10.498
0.225,-0.075,1.017,-20.142,12.024,-6.775
0.251,-0.082,1.004,-9.827,2.991,-2.075
0.287,-0.049,0.982,-2.014,-5.432,2.380
0.345,-0.040,0.938,3.418,-12.573,3.296
0.355,-0.034,0.908,3.845,-17.090,0.000
0.351,-0.052,0.910,0.793,-18.127,-4.517
0.334,-0.070,0.927,-3.296,-15.747,-8.423
0.301,-0.067,0.936,-7.080,-10.681,-10.864
0.261,-0.085,0.954,-9.216,-3.235,-11.414
0.235,-0.087,0.962,-9.399,6.104,-9.338
0.213,-0.068,0.961,-7.202,15.503,-6.592
0.201,-0.084,0.962,-2.625,18.555,-4.211
0.228,-0.087,0.952,3.906,13.428,-1.526
