aX,aY,aZ,gX,gY,gZ
0.709,-0.239,-0.400,-10.315,-3.296,21.057
0.747,-0.202,-0.453,-4.639,1.282,25.696
0.772,-0.173,-0.510,0.305,4.333,26.550

-0.750,0.983,1.716,-389.404,-218.201,-232.422
-0.946,0.993,2.005,-373.352,-223.389,-238.647
-0.961,1.081,2.169,-366.333,-218.140,-229.919
-0.989,1.169,2.367,-377.075,-194.824,-215.332
-1.032,1.216,2.433,-393.433,-143.555,-204.224
-0.997,1.223,2.531,-413.086,-83.801,-183.960
-0.983,1.116,2.625,-419.495,-29.541,-158.997
-0.811,1.109,2.725,-404.053,7.507,-127.502
-0.690,0.825,2.712,-378.906,33.569,-91.187
-0.537,0.770,2.742,-351.074,40.466,-37.048
-0.197,0.428,2.579,-259.033,32.715,-6.775
0.047,0.225,2.376,-197.144,14.832,0.061
0.163,0.035,2.253,-154.663,-15.747,5.249
0.172,-0.138,2.151,-117.737,-43.152,-5.615
0.094,-0.265,2.076,-89.844,-61.096,-17.212
-0.004,-0.381,2.011,-67.566,-61.646,-23.804
-0.135,-0.475,1.947,-47.852,-44.312,-25.940
-0.249,-0.522,1.891,-28.931,-23.743,-19.287
-0.282,-0.524,1.830,-8.118,-11.169,-4.211
-0.202,-0.458,1.641,12.207,2.075,12.939
-0.075,-0.398,1.404,23.926,14.282,24.414
0.007,-0.362,1.200,24.658,22.583,28.259
0.031,-0.307,1.061,19.897,26.367,27.649
0.018,-0.215,1.008,13.489,27.588,28.381
0.017,-0.165,0.973,8.911,28.259,26.855
0.029,-0.128,0.948,4.211,29.236,25.208
0.038,-0.109,0.945,0.488,28.442,22.461
0.033,-0.086,0.953,-1.465,23.804,17.578
0.036,-0.084,0.984,-1.831,15.747,13.062
0.014,-0.084,1.014,-0.732,7.690,8.789
0.025,-0.068,1.010,2.136,0.977,6.592
0.060,-0.040,1.001,3.601,-2.747,6.287
0.093,-0.185,1.615,5.981,-0.488,3.845
0.166,-0.103,1.156,14.526,23.071,3.479
0.114,-0.161,0.890,8.850,26.672,11.169
